title,description,valid_from,valid_until,is_active
Gyproc Gypsum Board Bundle,"5 boards + Gypframe metal framing kit",2026-04-01,2026-04-30,true
Gyproc Gypsum Plaster Combo,"40 kg x 10 bags + Free Gypframe Ceiling Angle set",2026-04-01,2026-04-30,true
Fiber Cement Board Pack,"Everest 12mm x 20 sheets - Normal + Plus",2026-04-01,2026-04-25,true
Complete False Ceiling Starter Kit,"T-Grid + PVC Ceiling Tiles - covers 100 sq ft",2026-04-01,2026-04-30,true
Premium Plank & Designer Board Pack,"Teak/Sandstone finish - 50 sq ft cladding set",2026-04-01,2026-04-30,true
PVC Wooden Panel Room Pack,"200 sq ft - 3 Groove 8mm panels + T-Grid",2026-04-01,2026-04-30,true
Plastic Ceiling Tiles Bulk Pack,"100 tiles - multiple designs, 600x600 mm",2026-04-01,2026-04-20,true
Ready-Made Wall Panel Set,"10 panels - fiber cement with decorative finish",2026-04-01,2026-04-30,true
Free Site Measurement & Estimation,"with any ceiling/wall project enquiry (1 visit)",2026-04-01,2026-04-15,true
Free Installation Guidance Visit,"with any purchase above Rs 20,000",2026-04-01,2026-04-30,true
