name,description,price,is_active
Gyproc Gypsum Board,"A high-performance plasterboard used for false ceilings, dry walls, and partitions. Manufactured by Saint-Gobain under the Gyproc brand, it delivers superior fire and sound resistance.",350,true
Gyproc Gypsum Plaster,"An eco-friendly, ready-to-use gypsum-based plaster that replaces traditional sand-cement application. Ideal for internal plastering surfaces with no water curing required.",380,true
"Fiber Cement Board (Normal & Plus)","Multi-use fiber cement sheets suitable for interior and exterior applications including partitions, cladding, flooring, and false ceilings.",45,true
Premium Plank & Designer Boards,"Aesthetically superior fiber cement planks and designer boards for external cladding, garden fencing, and gate cladding.",85,true
PVC Ceiling & Tiles,"A range of PVC ceiling systems including laminated gypsum, G.I. metal ceiling, T-grid, and acrylic sheets.",35,true
Plastic & PVC Gypsum Ceiling Tiles,"Decorative ceiling tiles in plastic and PVC gypsum variants. Multiple design patterns, easy DIY installation, and excellent cost-to-value ratio.",18,true
PVC Wooden Panel,"Wood-finish PVC wall and ceiling panels in groove designs, wallpaper patterns, hot stamping, and WPC variants.",40,true
"Gypframe Expert (Metal Framing System)","A complete metal framing solution for gypsum board partitions and false ceilings. Includes ceiling sections, perimeter channels, ceiling angles, and intermediate channels.",80,true
Ready-Made Wall Panels,"Pre-finished wall panels for quick interior wall finishing without plastering. Available in various textures and finishes for both residential and commercial use.",55,true
T-Grid False Ceiling System,"A suspended ceiling grid system (T-bar / T-grid) used to hold ceiling tiles, fiber cement boards, or gypsum boards.",25,true
